T_insertion	T_quick	T_merge	T_heap
6.999999982326699e-06	9.999999974752427e-07	0.0	6.999999982326699e-06
8.999999977277184e-06	2.999999992425728e-06	9.999999974752427e-07	6.999999982326699e-06
5.999999984851456e-06	9.999999974752427e-07	9.999999974752427e-07	5.999999984851456e-06
9.000000034120603e-06	8.00000003664536e-06	6.000000041694875e-06	6.999999982326699e-06
9.000000034120603e-06	1.9999999949504854e-06	9.999999974752427e-07	6.999999982326699e-06
6.999999982326699e-06	2.999999992425728e-06	1.9999999949504854e-06	4.9999999873762135e-06
6.999999982326699e-06	4.9999999873762135e-06	6.000000041694875e-06	5.000000044219632e-06
8.00000003664536e-06	1.9999999949504854e-06	5.999999984851456e-06	5.999999984851456e-06
7.999999979801942e-06	9.999999974752427e-07	2.999999992425728e-06	7.999999979801942e-06
7.999999979801942e-06	1.9999999949504854e-06	6.000000041694875e-06	7.999999979801942e-06
6.999999982326699e-06	3.999999989900971e-06	9.999999974752427e-07	4.9999999873762135e-06
7.999999979801942e-06	1.9999999949504854e-06	9.999999974752427e-07	6.999999982326699e-06
6.999999982326699e-06	9.999999974752427e-07	9.999999974752427e-07	5.999999984851456e-06
7.999999979801942e-06	3.999999989900971e-06	1.9999999949504854e-06	4.9999999873762135e-06
8.00000003664536e-06	3.999999989900971e-06	5.999999984851456e-06	7.999999979801942e-06
9.000000034120603e-06	0.0	0.0	6.999999982326699e-06
7.999999979801942e-06	9.999999974752427e-07	9.999999974752427e-07	6.999999982326699e-06
7.999999979801942e-06	9.999999974752427e-07	3.999999989900971e-06	4.9999999873762135e-06
7.999999979801942e-06	5.999999984851456e-06	6.999999982326699e-06	4.9999999873762135e-06
8.00000003664536e-06	9.999999974752427e-07	9.999999974752427e-07	5.999999984851456e-06
7.999999979801942e-06	9.999999974752427e-07	3.90000000152213e-05	6.000000041694875e-06
5.999999984851456e-06	1.9999999949504854e-06	9.999999974752427e-07	5.000000044219632e-06
7.999999979801942e-06	2.999999992425728e-06	6.999999982326699e-06	6.999999982326699e-06
9.000000034120603e-06	4.9999999873762135e-06	1.9999999949504854e-06	6.000000041694875e-06
3.300000003036985e-05	1.0000000031595846e-05	2.999999992425728e-06	6.999999982326699e-06
5.999999984851456e-06	2.999999992425728e-06	3.999999989900971e-06	3.999999989900971e-06
5.999999984851456e-06	2.0000000517939043e-06	1.9999999949504854e-06	6.999999982326699e-06
8.999999977277184e-06	9.999999974752427e-07	4.00000004674439e-06	6.999999982326699e-06
8.00000003664536e-06	3.999999989900971e-06	6.999999982326699e-06	6.000000041694875e-06
4.9999999873762135e-06	1.0000000543186616e-06	9.999999974752427e-07	3.999999989900971e-06
8.00000003664536e-06	7.999999979801942e-06	6.000000041694875e-06	7.999999979801942e-06
7.000000039170118e-06	1.9999999949504854e-06	4.9999999873762135e-06	7.999999979801942e-06
8.00000003664536e-06	1.9999999949504854e-06	7.000000039170118e-06	5.999999984851456e-06
6.999999982326699e-06	9.999999974752427e-07	2.999999992425728e-06	6.999999982326699e-06
8.999999977277184e-06	4.9999999873762135e-06	7.000000039170118e-06	6.999999982326699e-06
9.000000034120603e-06	2.0000000517939043e-06	9.999999974752427e-07	6.999999982326699e-06
1.0000000031595846e-05	9.999999974752427e-07	1.9999999949504854e-06	7.000000039170118e-06
7.000000039170118e-06	5.999999984851456e-06	3.999999989900971e-06	3.999999989900971e-06
6.999999982326699e-06	9.999999974752427e-07	9.999999974752427e-07	6.000000041694875e-06
8.00000003664536e-06	5.999999984851456e-06	6.999999982326699e-06	7.000000039170118e-06
6.999999982326699e-06	1.9999999949504854e-06	2.0000000517939043e-06	5.999999984851456e-06
5.000000044219632e-06	2.999999992425728e-06	5.000000044219632e-06	2.999999992425728e-06
7.000000039170118e-06	4.9999999873762135e-06	4.00000004674439e-06	1.9999999949504854e-06
9.999999974752427e-06	4.9999999873762135e-06	4.9999999873762135e-06	5.999999984851456e-06
4.9999999873762135e-06	9.999999974752427e-07	9.999999974752427e-07	6.000000041694875e-06
6.999999982326699e-06	9.999999974752427e-07	1.9999999949504854e-06	2.3999999996249244e-05
5.999999984851456e-06	3.999999989900971e-06	9.999999974752427e-07	4.9999999873762135e-06
5.999999984851456e-06	1.9999999949504854e-06	1.9999999949504854e-06	6.999999982326699e-06
4.9999999873762135e-06	9.999999974752427e-07	1.9999999949504854e-06	4.9999999873762135e-06
5.999999984851456e-06	1.9999999949504854e-06	3.999999989900971e-06	5.1000000041767635e-05
7.999999979801942e-06	9.999999974752427e-07	6.999999982326699e-06	6.999999982326699e-06
6.999999982326699e-06	2.999999992425728e-06	2.999999992425728e-06	4.00000004674439e-06
8.999999977277184e-06	2.999999992425728e-06	3.000000049269147e-06	8.00000003664536e-06
6.999999982326699e-06	9.999999974752427e-07	4.9999999873762135e-06	7.000000039170118e-06
8.00000003664536e-06	1.9999999949504854e-06	0.0	7.000000039170118e-06
9.000000034120603e-06	2.999999992425728e-06	2.999999992425728e-06	2.999999992425728e-06
